GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
Alberta,1989-10,,,,,,,,,
Alberta,1989-11,,,,,,,,,
Alberta,1989-12,,,,,,,,,
Alberta,1990-01,,,,,,,,,
Alberta,1990-02,,,,,,,,,
Alberta,1990-03,,,,,,,,,
Alberta,1990-04,,,,,,,,,
Alberta,1990-05,,,,,,,,,
Alberta,1990-06,,,,,,,,,
Alberta,1990-07,,,,,,,,,
Alberta,1990-08,,,,,,,,,
Alberta,1990-09,,,,,,,,,
Alberta,1990-10,,,,,,,,,
Alberta,1990-11,,,,,,,,,
Alberta,1990-12,,,,,,,,,
Alberta,1991-01,,,,,,,,,
Alberta,1991-02,,,,,,,,,
Alberta,1991-03,,,,,,,,,
Alberta,1991-04,,,,,,,,,
Alberta,1991-05,,,,,,,,,
Alberta,1991-06,,,,,,,,,
Alberta,1991-07,,,,,,,,,
Alberta,1991-08,,,,,,,,,
Alberta,1991-09,,,,,,,,,
Alberta,1991-10,,,,,,,,,
Alberta,1991-11,,,,,,,,,
Alberta,1991-12,,,,,,,,,
Alberta,1992-01,,,,,,,,,
Alberta,1992-02,,,,,,,,,
Alberta,1992-03,,,,,,,,,
Alberta,1992-04,,,,,,,,,
Alberta,1992-05,,,,,,,,,
Alberta,1992-06,,,,,,,,,
Alberta,1992-07,,,,,,,,,
Alberta,1992-08,,,,,,,,,
Alberta,1992-09,,,,,,,,,
Alberta,1992-10,,,,,,,,,
Alberta,1992-11,,,,,,,,,
Alberta,1992-12,,,,,,,,,
Alberta,1993-01,,,,,,,,,
Alberta,1993-02,,,,,,,,,
Alberta,1993-03,,,,,,,,,
Alberta,1993-04,,,,,,,,,
Alberta,1993-05,,,,,,,,,
Alberta,1993-06,,,,,,,,,
Alberta,1993-07,,,,,,,,,
Alberta,1993-08,,,,,,,,,
Alberta,1993-09,,,,,,,,,
Alberta,1993-10,,,,,,,,,
Alberta,1993-11,,,,,,,,,
Alberta,1993-12,,,,,,,,,
Alberta,1994-01,,,,,,,,,
Alberta,1994-02,,,,,,,,,
Alberta,1994-03,,,,,,,,,
Alberta,1994-04,,,,,,,,,
Alberta,1994-05,,,,,,,,,
Alberta,1994-06,,,,,,,,,
Alberta,1994-07,,,,,,,,,
Alberta,1994-08,,,,,,,,,
Alberta,1994-09,,,,,,,,,
Alberta,1994-10,,,,,,,,,
Alberta,1994-11,,,,,,,,,
Alberta,1994-12,,,,,,,,,
Alberta,1995-01,,,,,,,,,
Alberta,1995-02,,,,,,,,,
Alberta,1995-03,,,,,,,,,
Alberta,1995-04,,,,,,,,,
Alberta,1995-05,,,,,,,,,
Alberta,1995-06,,,,,,,,,
Alberta,1995-07,,,,,,,,,
Alberta,1995-08,,,,,,,,,
Alberta,1995-09,,,,,,,,,
Alberta,1995-10,,,,,,,,,
Alberta,1995-11,,,,,,,,,
Alberta,1995-12,,,,,,,,,
Alberta,1996-01,,,,,,,,,
Alberta,1996-02,,,,,,,,,
Alberta,1996-03,,,,,,,,,
Alberta,1996-04,,,,,,,,,
Alberta,1996-05,,,,,,,,,
Alberta,1996-06,,,,,,,,,
Alberta,1996-07,,,,,,,,,
Alberta,1996-08,,,,,,,,,
Alberta,1996-09,,,,,,,,,
Alberta,1996-10,,,,,,,,,
Alberta,1996-11,,,,,,,,,
Alberta,1996-12,,,,,,,,,
Alberta,1997-01,,,,,,,,,
Alberta,1997-02,,,,,,,,,
Alberta,1997-03,,,,,,,,,
Alberta,1997-04,,,,,,,,,
Alberta,1997-05,,,,,,,,,
Alberta,1997-06,,,,,,,,,
Alberta,1997-07,,,,,,,,,
Alberta,1997-08,,,,,,,,,
Alberta,1997-09,,,,,,,,,
Alberta,1997-10,,,,,,,,,
Alberta,1997-11,,,,,,,,,
Alberta,1997-12,,,,,,,,,
Alberta,1998-01,,,,,,,,,
Alberta,1998-02,,,,,,,,,
Alberta,1998-03,,,,,,,,,
Alberta,1998-04,,,,,,,,,
Alberta,1998-05,,,,,,,,,
Alberta,1998-06,,,,,,,,,
Alberta,1998-07,,,,,,,,,
Alberta,1998-08,,,,,,,,,
Alberta,1998-09,,,,,,,,,
Alberta,1998-10,,,,,,,,,
Alberta,1998-11,,,,,,,,,
Alberta,1998-12,,,,,,,,,
Alberta,1999-01,,,,,,,,,
Alberta,1999-02,,,,,,,,,
Alberta,1999-03,,,,,,,,,
Alberta,1999-04,,,,,,,,,
Alberta,1999-05,,,,,,,,,
Alberta,1999-06,,,,,,,,,
Alberta,1999-07,,,,,,,,,
Alberta,1999-08,,,,,,,,,
Alberta,1999-09,,,,,,,,,
Alberta,1999-10,,,,,,,,,
Alberta,1999-11,,,,,,,,,
Alberta,1999-12,,,,,,,,,
Alberta,2000-01,,,,,,,,,
Alberta,2000-02,,,,,,,,,
Alberta,2000-03,,,,,,,,,
Alberta,2000-04,,,,,,,,,
Alberta,2000-05,,,,,,,,,
Alberta,2000-06,,,,,,,,,
Alberta,2000-07,,,,,,,,,
Alberta,2000-08,,,,,,,,,
Alberta,2000-09,,,,,,,,,
Alberta,2000-10,,,,,,,,,
Alberta,2000-11,,,,,,,,,
Alberta,2000-12,,,,,,,,,
Alberta,2001-01,,,,,,,,,
Alberta,2001-02,,,,,,,,,
Alberta,2001-03,,,,,,,,,
Alberta,2001-04,,,,,,,,,
Alberta,2001-05,,,,,,,,,
Alberta,2001-06,,,,,,,,,
Alberta,2001-07,,,,,,,,,
Alberta,2001-08,,,,,,,,,
Alberta,2001-09,,,,,,,,,
Alberta,2001-10,,,,,,,,,
Alberta,2001-11,,,,,,,,,
Alberta,2001-12,,,,,,,,,
Alberta,2002-01,,,,,,,,,
Alberta,2002-02,,,,,,,,,
Alberta,2002-03,,,,,,,,,
Alberta,2002-04,,,,,,,,,
Alberta,2002-05,,,,,,,,,
Alberta,2002-06,,,,,,,,,
Alberta,2002-07,,,,,,,,,
Alberta,2002-08,,,,,,,,,
Alberta,2002-09,,,,,,,,,
Alberta,2002-10,,,,,,,,,
Alberta,2002-11,,,,,,,,,
Alberta,2002-12,,,,,,,,,
Alberta,2003-01,,,,,,,,,
Alberta,2003-02,,,,,,,,,
Alberta,2003-03,,,,,,,,,
Alberta,2003-04,,,,,,,,,
Alberta,2003-05,,,,,,,,,
Alberta,2003-06,,,,,,,,,
Alberta,2003-07,,,,,,,,,
